last_name, first_name,year,p_formatted_ip,p_earned_run,p_era,fastball_avg_speed,fastball_range_speed,breaking_avg_speed,breaking_range_speed,offspeed_avg_speed,offspeed_range_speed
Stroman, Marcus,2019,184.1,66,3.23,91.9,1.3,85.4,2.9,87,2.1
Sanchez, Anibal,2019,166,71,3.85,89.3,2,78.9,3.4,82.1,5.8
Morton, Charlie,2019,194.2,66,3.06,92.8,4.1,78.6,1.2,84.9,1.3
Lester, Jon,2019,171.2,85,4.47,89.1,1.9,74.5,2,84.3,1.4
Leake, Mike,2019,197,94,4.29,87.6,1.9,79.9,2,84,1.6
Hudson, Dakota,2019,174.2,65,3.36,93.6,1.2,85.9,3.1,88.1,1.5
Boyd, Matthew,2019,185.1,94,4.57,92,1.7,78.9,3.1,79.1,1.2
Scherzer, Max,2019,172.1,56,2.93,94.2,2.4,83.5,3.8,84.3,1.4
Ray, Robbie,2019,174.1,84,4.34,92.4,1.5,83.3,2.5,,
Gray, Sonny,2019,175.1,56,2.88,93.2,1.3,83.1,2.2,89.7,1.3
Fiers, Mike,2019,184.2,80,3.91,90.3,1.5,79.9,6.8,84.1,1.5
Castillo, Luis,2019,190.2,72,3.41,96.4,1.3,85.9,1.4,87.2,1.1
Bumgarner, Madison,2019,207.2,90,3.91,89.6,2.6,78.8,1.5,84.2,1.4
Buehler, Walker,2019,182.1,66,3.26,95.9,2.1,84,4,91.5,1.4
Bieber, Shane,2019,214.1,78,3.28,93.1,0.8,84,1.7,87.6,0.9
Anderson, Brett,2019,176,76,3.89,90.3,2,80.5,3.3,82.6,1.8
Ryu, Hyun Jin,2019,182.2,47,2.32,89.4,2.5,72.8,2.6,80,1.8
Hendricks, Kyle,2019,177,68,3.46,86.9,1.2,71.4,1.4,78.6,1.1
Eflin, Zach,2019,163.1,75,4.14,93.5,1.3,85.7,4.1,86.7,1.5
DeSclafani, Anthony,2019,166.2,72,3.9,94.7,1.1,87.1,3.8,88.5,1.3
Wheeler, Zack,2019,195.1,86,3.97,96.7,1.4,87.6,5.7,88.9,1.5
Wainwright, Adam,2019,171.2,80,4.21,88,3.1,74.9,2.1,83.9,1.6
Porcello, Rick,2019,174.1,107,5.53,90.4,1.6,80.4,5.4,80.8,1.6
Nola, Aaron,2019,202.1,87,3.87,92.8,1.6,79.1,1.5,85.8,1.5
Giolito, Lucas,2019,176.2,67,3.42,94.2,1.4,83.4,2.8,81.7,1.4
Fried, Max,2019,165.2,74,4.03,93.8,1.7,78.1,5.4,84.8,1.8
Berrios, Jose,2019,200.1,82,3.69,92.7,1.5,81.2,2.1,82.5,2.1
Soroka, Mike,2019,174.2,52,2.69,92.4,1.5,83.2,2.1,81.2,1.5
Perez, Martin,2019,165.1,94,5.12,91.7,3.5,79.2,1.4,85.3,1.5
Musgrove, Joe,2019,170.1,84,4.44,91.9,2.2,82.9,1.4,85.3,1.5
Miley, Wade,2019,167.1,74,3.99,88.3,2.4,76.1,2.7,81.2,1.4
Marquez, German,2019,174,92,4.76,95.4,1.7,86.1,2.6,87.8,1.9
Lucchesi, Joey,2019,163.2,76,4.19,90.2,1.4,,,78.9,1.8
Greinke, Zack,2019,208.2,68,2.94,89.9,1.4,77.4,7.7,87.3,1.4
Cole, Gerrit,2019,212.1,59,2.5,97.1,1.6,86.6,4,88.6,1.5
Bailey, Homer,2019,163.1,83,4.58,92.9,1.5,83.9,5.1,84.1,1.8
deGrom, Jacob,2019,204,55,2.43,96.9,1.2,91.8,2.8,90.3,1.5
Teheran, Julio,2019,174.2,74,3.82,89.6,1.7,80.4,4,83.6,1.7
Strasburg, Stephen,2019,209,77,3.32,93.8,1.2,81.3,1.6,87.7,1.2
Roark, Tanner,2019,165.1,80,4.36,92,1.4,82.4,5.9,84.1,1.2
Nova, Ivan,2019,187,98,4.72,91.3,2.9,79.9,1.8,86.2,1.3
Minor, Mike,2019,208.1,83,3.59,92.5,1.3,84.3,3.6,86.2,1.5
Mikolas, Miles,2019,184,85,4.16,93.6,1.4,82.9,5.1,87.8,2.4
Kershaw, Clayton,2019,178.1,60,3.03,90.3,1,82.9,7,85.2,1.5
Kelly, Merrill,2019,183.1,90,4.42,91.3,1.9,80.6,1.8,86,1.5
Keller, Brad,2019,165.1,77,4.2,93.3,1.8,84.9,1.7,87.8,1.6
Junis, Jakob,2019,175.1,102,5.24,91.5,1.3,81.4,2.1,84.6,1.6
Corbin, Patrick,2019,202,73,3.25,91.8,1.6,80.5,4.8,81.8,2.3
Verlander, Justin,2019,223,64,2.58,94.6,1.3,84.5,4.6,86.9,1.3
Tanaka, Masahiro,2019,182,90,4.45,91.1,1.7,82.7,2.7,86.8,1.4
Samardzija, Jeff,2019,181.1,71,3.53,90.8,2.2,83.6,3.4,82.3,1.6
Alcantara, Sandy,2019,197.1,85,3.88,95.5,1.6,84.8,2.7,89.1,1.4
Syndergaard, Noah,2019,197.2,94,4.29,97.6,1.1,85.7,5,91.1,1.3
Rodriguez, Eduardo,2019,203.1,86,3.81,91.9,2.6,83.3,3.2,87.6,1.5
Quintana, Jose,2019,171,89,4.68,91.3,1,77,1.1,86.5,1.2
Lynn, Lance,2019,208.1,85,3.68,93.2,2.9,81.2,1.7,86.9,2.1
Lopez, Reynaldo,2019,184,110,5.38,95.4,1.9,82.5,3.9,84,1.9
Gonzales, Marco,2019,203,90,3.99,87.6,2.2,76.3,1.4,81.2,1.1
Flaherty, Jack,2019,196.1,60,2.75,93.8,2.2,82.8,3.9,86.2,1.8
Darvish, Yu,2019,178.2,79,3.99,90.5,4.7,80.7,3.9,88.1,2.1
Bauer, Trevor,2019,213,106,4.48,91.7,5.3,79.3,1.7,86,1.8
